time,x,y,z,fx,fy,fz
1711941658.923021,1.143555629067123,1.0048004044219851,-1.4403325852006674,0.48855257,-0.89059293,-22.39717
1711941658.9459302,1.143555629067123,1.0048004044219851,-1.4403325852006674,0.27840754,-0.8697299,-22.455143
1711941658.9702973,1.143555629067123,1.0048004044219851,-1.4403325852006674,0.06077319,-0.8433555,-22.506021
1711941658.992558,1.143555629067123,1.0048004044219851,-1.4403325852006674,-0.16493471,-0.8114481,-22.501125
1711941659.010136,1.0477805016562343,1.0728282583877444,-1.4006877478212119,0.6644976,-0.8590696,-21.401701
1711941659.0277824,1.0477805016562343,1.0728282583877444,-1.4006877478212119,0.57981116,-0.8291325,-21.295471
1711941659.0530772,1.0477805016562343,1.0728282583877444,-1.4006877478212119,0.42734554,-0.78852445,-21.215706
1711941659.0703876,1.0477805016562343,1.0728282583877444,-1.4006877478212119,0.24505451,-0.7499777,-21.190277
1711941659.0874538,1.0477805016562343,1.0728282583877444,-1.4006877478212119,0.015559133,-0.6811513,-21.219255
1711941659.1091547,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.19738288,-0.61750007,-21.24405
1711941659.1269927,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.39625743,-0.54590344,-21.26917
1711941659.1442606,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.56677616,-0.44850662,-21.30602
1711941659.17002,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.6280487,-0.44039568,-21.308332
1711941659.190802,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.68135417,-0.43039823,-21.304142
1711941659.208439,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.73112,-0.41849548,-21.289719
1711941659.231645,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.7755176,-0.40167782,-21.262775
1711941659.2491956,1.0477805016562343,1.0728282583877444,-1.4006877478212119,-0.8203865,-0.42761073,-21.231424
1711941659.2690766,0.9681670544669032,1.1103456867858768,-1.431241088733077,0.14481352,0.13634914,-19.724483
1711941659.2869315,0.9681670544669032,1.1103456867858768,-1.431241088733077,0.069009416,0.12045906,-19.67907
1711941659.3078496,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.0066279396,0.184408,-19.656395
